you sound like drumpf  raven capps crowl |  SAD
lauren holcomb pbs is harmful because they lie to promote liberalism  for example   |  SAD
true but we ca nt get un troops killed in the process  half of this world is killing each other  most of the time americans are nt paying attention  never understand the human race  just could end poverty and war if we learned to work together  sad |  SAD
gopdeath cult |  ANG
these pigs should of thought about that before they became muslim terrorist pigs |  SAD
amen |  SAD
what is your problem  i have friends there that barely escaped with their lives  |  SAD
john higuero somalia is a muslim country so yes you seem pretty dumb |  SAD
michael france every real muslim is as the koran instructs you to kill the infidel and to treat women badly and if you don’t follow the koran literally you are not a real muslim |  SAD
spies |  SAD
passholes will buy it  |  ANG
again profits trump ethics and human caring  the very companies that we trust to provide life saving medicines have become blood sucking vampires sucking blood and money from those who are vulnerable  shame on you  |  ANG
i m sick of seeing this man s face  his administration is always bad news  very bad news  |  ANG
the turtle and the crested cocketeil reminds again  |  ANG
this is terrifying  |  ANG
meridian mckenzie it matters if you are homeless  this is about pbs using children  not me  my money helps  start making sense  |  SAD
i m sure your opinion would change if it was your home on fire  |  SAD
why ca nt we figure out what causes addiction  any kind of addiction at all  |  SAD
nona johnstone yeah you do nt support law abiding citizens or us who came here legally dreaming of a law abiding society  no you support people who broke the law and that our laws say must be deported  go home and dream there and while at it take nona with you to venezuela  the latest socialist success story with empty food shelves and ground full of crude |  SAD
raising the standard deduction will mean that fewer taxpayers will itemize  if fewer taxpayers itemize  then that will reduce the incentive for many of them to make charitable contributions or buy homes  especially among the middle class  charitable contributions  mortgage interest and local property taxes might still be deductible  but only if you itemize  |  ANG
estate tax repeal will only benefit trump  friends      |  ANG
does anyone remember wmd  |  ANG
blotus  pathologically  |  ANG
trolls for trump |  ANG
that’s on ca coast near solvang |  SAD
 25thamendment🍊💩 |  ANG
idiot in chief 💯 |  ANG
stephanie swapdarrow prophet  “a person who speaks for god or a deity  or by divine inspiration” nothing godly or divine about that “sad” human being  |  SAD
obama did the leg work morons |  ANG
another well thought out plan  🤡 |  ANG
profits before lives  |  ANG
the taking of human life means nothing to these kind of people  power and fear are what they are after  and if killing people is what it takes to get what they want  that is what they will do  |  SAD
make it stop |  ANG
meanwhile  the tantrums continue   |  ANG
 allafricacomstories201206040009html |  SAD
kenneth mccahan      |  SAD
hiio |  SAD
gtfo |  ANG
our love and prayers to all affected |  SAD
robert bonham  you too  f  k off  |  SAD
mean pos  |  ANG
wrong  way way wrong  |  SAD
gen kelly ca nt control  morondon  fail |  ANG
i agree with some of the comments  something is not true  and these people are not blameless  |  SAD
it s all about the money  |  ANG
koch brothers have bought most of the us government  |  ANG
so   a tax cut for the rich  i see   |  ANG
lying puke  |  ANG
it s fake news that our president is nt helping pr  geraldo rivera has family that lives there  even his mother he went there  he reported that the country is getting everything possible  he said he was proud of the job president trump had done to help them out  pr had lots of problems before the hurricanes deep debt  no power on parts of it  just general lack of upkeep   so many of the issues were already there  now it s just worse  i think they are trying to manipulate the story to get everyone to hate the president   |  SAD
u have to wonder  |  SAD
 cnn  president donald trump gave his condolences to citizens affected by the wildfires currently raging in northern california  saying that the federal government  will stand with  them through the crisis  the president addressed the wildfires from the white house on tuesday and added that he s been in contact with california gov  jerry brown  |  SAD
moron a true moron |  ANG
do nt support the  kaiser establishment  at all  yet neither the aborting of life  circumstances are an issue  🐞 |  ANG
terrifying  stay safe  |  SAD
actually  mr trump  instead of helping ca  how about you just let us secede without a war  |  SAD
poster boy of stupidity |  SAD
true stop aboration |  ANG
thank you to the first responders and others who put themselves in danger trying to save lives and property |  SAD
does sessions know about this  where is sessions  |  ANG
so you like dirty water   |  ANG
interesting |  SAD
ray fenstermaker laugh all you want  but it’s true  surely there must be some good people amongst the bigots |  SAD
the creator is sending these messages but it seems no one is listening that can do something about it  we get what we deserve  |  SAD
i thinkmit is arson on the right |  SAD
devastating  |  SAD
lies |  ANG
civilizations do nt last long america is at the end of it s rope  |  SAD
watch out for  fake news   folks  |  ANG
i ca nt watch  |  ANG
when will it end  such sadness and suffering in the name of what  |  SAD
|  ANG
i have to ask  who goes hiking in a country we re at war with  |  SAD
mother nature is not a nurturing mother  |  SAD
i’ll be glad when i don’t have to see that orange face or here that jerks voice any more |  ANG
he s winning  so winning  are we all tired of winning  |  ANG
help these people out  |  SAD
world war three here we come  drag all these kids who voted for him and put them in army and marine and navy boot camp add trumps kids  run them in the ringer then put them in the fiersest part of the fighting  show them what he ll is like  |  ANG
eliot w collins 24k if married  do nt sugarcoat your lies  |  ANG
we have no idea what those poor souls have endured  or not   |  SAD
trump threw paper towels to the people of pr  will he throw brooms and dust pans to calif to sweep up the ashes    |  ANG
