he s off his rocker    xrsrebelmousefb  utmsourcefacebook  utmmediumfbsocialshare  utmcampaignorganic |  ANG
why  suspicious story |  SAD
i think i remember when obama was president he did all the talking and answered questions  |  ANG
heidi waukechon |  ANG
this was her idea     |  SAD
scott pruitt is a nightmare  |  ANG
potus  pos |  ANG
a beautiful segment  |  LOV
sherri brown 😍 |  LOV
troll |  SAD
he is such a sore loser |  ANG
🐖 |  ANG
i snorted two marihuana  now i m serving 4 back to back life sentences in adx florence for jaywalking while  stone  not wurth it kids |  SAD
mcconnell looks like he wants to puke  |  ANG
only because of prejudice |  ANG
lovely |  LOV
scumbags galore |  ANG
i m more interested in what it means for the usa  |  HAH
happy holidays trump  |  ANG
trump will scrap the iran deal  they will ramp up nuclear development  and trump will blame obama  or hillary  or mccain  or someone in his cabinet  or corker  or great britain  etc  |  ANG
trump’s state of mind  a never ending search for new enemies    a sick mind |  ANG
leave canada out of it  why do nt you move to somalia then  |  SAD
without prayer the world is hopeless |  ANG
1 rand paul  |  ANG
good read |  ANG
at this point i want to know if any criminal or civil cases have been filed  |  ANG
wow feel sad for you and i am ultra conservative  |  SAD
frightening and dangerous  |  ANG
who makes these bombs  the us  |  SAD
this is so wrong  |  ANG
grant colley typical repug        |  SAD
if the president overloads congress  and they get nothing done  does it strengthen the bannon  trump  mission to campaign against an  ineffective  congress during the 2018 primaries  |  HAH
beautiful man  beautiful hommage to the segment  always a highlight  this one extra special  gratefully etc |  LOV
comon guys what world are we living  trump is smarter than who we think he is  he perfectly understands how america  and modern capitalism works  do you think really the news media thinks your ideals  and progressive agendas are their primary concern  not  their priority is to find and air the hottest stories that fuel their business  |  ANG
well he own it now think god i dont have either |  ANG
|  ANG
be afraid  be very afraid of trump the uninformed and unqualified |  ANG
janey timmdawes |  LOV
sad for our country  |  ANG
amen |  SAD
loved it |  LOV
great post  but i do nt understand its relevance    😁 |  SAD
you do realize this is much further inland  right  you also realize you re an idiot  right  |  SAD
 allafricacomstories201206040009html |  SAD
criminal  |  ANG
david |  LOV
i want topunch him in his stupid little face |  ANG
this was a wonderful interview  maintaining his humor and the ability to play piano from memory  i enjoyed this piece very much  thank your father for me  |  LOV
filmed in buffalo  ny  |  LOV
i do nt understand why the united nations has not acted on this ethnic cleansing  |  SAD
susan wells  it s a movie  a reflection of life  one in which you could nt be bothered to read the article  just offer criticism  not knowing what it s about  sad😟 |  SAD
our democracy highjacked by corporation corrupt ed politicians |  ANG
may she rest in peace |  SAD
🙃 |  SAD
i love these dogs and mr wegman s artistic style  |  LOV
look familiar  i think this came out in 1993       |  LOV
addiction isn’t caused by the substances addicts use  it’s the manifestation of the symptoms of the disease of addiction  fentanyl that is killing people isn’t from the pharmacy it’s manufactured in china and mexico and distributed by the cartels  don’t condemn those in chronic pain and cancer patients in immeasurable pain to agony for what has nothing to do with them  addicts use substances because their disease process  the substance doesn’t create the addict  |  SAD
oh no     😢 i hope they can save some of it 😔 |  SAD
maddie starr  hater  |  ANG
all a bunch of idiots |  ANG
thank you ann |  LOV
pathetic      |  ANG
there’s boris  so where is natasha  |  ANG
age old culture of complicity   infectious social bacterium  |  ANG
mh  be angry  |  LOV
un do its job |  SAD
do nt believe a liar🏳️ |  ANG
coal is king  |  ANG
😡😡😡 |  ANG
buy local  get your news overseas |  ANG
pruitt  environmental polluter in chief  |  ANG
ricky oliver    |  LOV
robert bonham does nt change the fact robert  does it  |  SAD
looking forward to this  |  LOV
no one cares  its an internal matter  the world does not need to be involved |  SAD
was that guy that shot up marijuana you perhaps  |  SAD
interesting  we have a recording of the sound but not one interview from an embassy staffer  all right after we open up diplomatic relations with cuba by president obama  very suspicious  why would cuba ruin their first chance for a normal future  |  WOW
incarcerating the addicted is not the answer |  SAD
when someone uses the term  most likely  it s not really a factually provable statement but here are a number of sources  science as well as journalistic  that say the same as me so you can chew on that for a while     mobilenytimescom20161011scienceclimatechangeforestfireshtml   duckduckgocom    |  SAD
right      |  SAD
15 deaths  it s horroble to think about |  SAD
awesome will see it again    beautifully sdone👉👉👉👉👉 |  LOV
bump trump     |  ANG
looks like scenes from the apocalypse    😞 |  SAD
lame |  ANG
